eixo tematico,titulo do trabalho,palavrachave 1,palavrachave 2,palavrachave 3,palavrachave 4,palavrachave 5
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,docentes paraguayos ante los desafios de la ensenanza remota durante la pandemia del covid19,covid19,educacao a distancia,professores,experiencias,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,educacao a distancia e blendedlearning possibilidades e desafios na construcao de designs curriculares no contexto da cultura digital












curriculo,design curricular,blendedlearning,cultura digital
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,educacao a distancia nas etsus um olhar sobre a capacitacao pedagogica dos professorestutores,capacitacao de professores,educacao a distancia,etsus,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,educacao e tecnologia e o fator humano











cultura escolarizante,ensino hibrido,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,efeitos da pandemia no ensino de odontologia praticas pedagogicas mediadas por tecnologias digitais como forma de superacao dos desafios,ensino superior,odontologia,pandemia,educacao hibrida,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino hibrido e os desafios das aulas sincronas,ensino hibrido,tdic,aulas sincronas,ensino superior,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ensino para a criatividade como pratica pedagogica no ambiente escolar













ensino para a criatividade,internacionalidade,pensamento criativo,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,epistemologia reflexiva da pratica docente em tempos de ineditismo possivel,reflexao,epistemologia,pratica docente,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,estagio de docencia em tempos de pandemia  um relato de experiencia,ensino superior,ensino remoto,formacao inicial,tecnologias digitais,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,estagio supervisionado de cursos de licenciaturas no formato de ensino online emergencial no contexto da covid19,estagio supervisionado,covid19,ensino online emergencial,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,estrategia para formacao continuada de professores que contribue para incorporacao de tecnologias de informacao e comunicacao na pratica pedagogica,formacao continuada,ferramentas digitais,ensino superior,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,experiencia de estagio supervisionado em museus virtuais,museus virtuais,educacao a distancia,ensino de historia,estagio supervisionado,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,experiencia formativa de ensino nao presencial no ambito do programa de apoio preuniversitario,ensino nao presencia,cursinho popular,acesso ao ensino superior,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,experiencias formativas e acoes realizadas durante o ensino remoto para promover a contrucao de conhecimentos tecnologicos e pedagogicos do conteudo,tpack,docencia virtual,tdic,profissionalizacao docente,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,design thinking e formacao de professores no uso das tecnologias digitais,design thinking,teacher training,digital technologies,nd,nd
